angle01,angle02,angle03,angle11,angle12,angle13,angle21,angle22,angle23,angle31,angle32,angle33,angle41,angle42,angle43,label_id
0.83,0.9,0.97,0.88,0.39,0.79,0.94,0.25,0.89,0.92,0.32,0.83,0.87,0.34,0.84,1
0.82,0.91,0.97,0.88,0.33,0.82,0.94,0.22,0.91,0.93,0.27,0.86,0.88,0.31,0.86,1
0.82,0.9,0.96,0.88,0.47,0.72,0.94,0.27,0.88,0.92,0.33,0.81,0.88,0.32,0.85,1
0.82,0.9,0.96,0.88,0.38,0.78,0.94,0.24,0.89,0.92,0.29,0.84,0.88,0.31,0.86,1
0.82,0.9,0.96,0.88,0.45,0.72,0.94,0.26,0.88,0.92,0.32,0.82,0.88,0.32,0.85,1
0.83,0.91,0.96,0.88,0.34,0.79,0.94,0.22,0.89,0.93,0.28,0.83,0.88,0.29,0.87,1
0.87,0.92,0.93,0.87,0.8,0.58,0.92,0.48,0.71,0.91,0.3,0.85,0.83,0.36,0.89,2
0.87,0.93,0.95,0.88,0.82,0.65,0.93,0.61,0.61,0.92,0.33,0.82,0.84,0.38,0.87,2
0.86,0.93,0.94,0.88,0.83,0.66,0.92,0.56,0.64,0.91,0.32,0.83,0.84,0.37,0.88,2
0.87,0.92,0.96,0.88,0.83,0.66,0.93,0.58,0.62,0.91,0.33,0.82,0.83,0.38,0.88,2
0.85,0.94,0.97,0.89,0.86,0.75,0.93,0.67,0.6,0.91,0.36,0.82,0.8,0.43,0.88,2
0.85,0.93,0.96,0.88,0.84,0.72,0.92,0.65,0.62,0.9,0.37,0.82,0.79,0.44,0.88,2
0.85,0.94,0.94,0.88,0.84,0.68,0.92,0.64,0.62,0.89,0.34,0.83,0.78,0.43,0.88,2
0.85,0.94,0.93,0.88,0.84,0.65,0.92,0.63,0.61,0.89,0.35,0.82,0.78,0.43,0.89,2
0.84,0.96,0.91,0.87,0.82,0.67,0.91,0.63,0.64,0.88,0.39,0.8,0.76,0.48,0.87,2
0.87,0.94,0.93,0.87,0.83,0.64,0.92,0.67,0.59,0.89,0.38,0.8,0.78,0.48,0.86,2
0.87,0.94,0.91,0.87,0.83,0.66,0.92,0.61,0.61,0.9,0.36,0.81,0.78,0.46,0.86,2
0.86,0.94,0.93,0.87,0.82,0.66,0.92,0.59,0.63,0.89,0.36,0.82,0.77,0.46,0.87,2
0.86,0.94,0.94,0.87,0.82,0.62,0.92,0.6,0.62,0.89,0.35,0.82,0.77,0.45,0.87,2
0.85,0.96,0.92,0.87,0.79,0.68,0.91,0.56,0.73,0.86,0.44,0.82,0.73,0.54,0.86,2
0.85,0.96,0.94,0.88,0.83,0.69,0.92,0.64,0.64,0.87,0.41,0.81,0.74,0.49,0.86,2
0.84,0.97,0.93,0.88,0.82,0.74,0.91,0.64,0.71,0.84,0.48,0.82,0.71,0.57,0.86,2
0.84,0.96,0.89,0.87,0.81,0.78,0.9,0.58,0.77,0.84,0.5,0.83,0.72,0.56,0.87,2
0.86,0.94,0.87,0.84,0.79,0.79,0.88,0.59,0.79,0.82,0.54,0.84,0.72,0.59,0.87,2
0.85,0.95,0.87,0.86,0.79,0.79,0.88,0.62,0.78,0.83,0.53,0.82,0.72,0.58,0.86,2
0.84,0.94,0.86,0.85,0.77,0.8,0.89,0.58,0.78,0.83,0.51,0.83,0.73,0.56,0.86,2
0.86,0.93,0.84,0.84,0.77,0.79,0.88,0.56,0.8,0.83,0.51,0.84,0.73,0.56,0.86,2
0.86,0.94,0.86,0.87,0.81,0.78,0.91,0.59,0.74,0.86,0.48,0.82,0.76,0.53,0.85,2
0.84,0.93,0.89,0.86,0.81,0.8,0.9,0.61,0.75,0.86,0.49,0.81,0.76,0.54,0.84,2
0.84,0.92,0.91,0.88,0.82,0.81,0.92,0.63,0.72,0.88,0.49,0.79,0.77,0.53,0.84,2
0.85,0.91,0.91,0.88,0.83,0.72,0.93,0.63,0.65,0.89,0.44,0.8,0.78,0.49,0.86,2
0.84,0.91,0.93,0.89,0.83,0.73,0.93,0.63,0.67,0.9,0.44,0.81,0.77,0.49,0.87,2
0.84,0.92,0.96,0.89,0.81,0.78,0.93,0.62,0.72,0.89,0.48,0.82,0.76,0.54,0.87,2
0.85,0.91,0.94,0.89,0.81,0.76,0.93,0.58,0.7,0.89,0.43,0.82,0.77,0.51,0.87,2
0.85,0.92,0.94,0.89,0.79,0.77,0.93,0.58,0.73,0.89,0.45,0.82,0.77,0.52,0.86,2
0.86,0.9,0.93,0.89,0.8,0.71,0.93,0.58,0.68,0.91,0.41,0.82,0.77,0.5,0.86,2
0.86,0.91,0.93,0.89,0.81,0.76,0.93,0.66,0.65,0.91,0.44,0.78,0.77,0.51,0.84,2
0.85,0.9,0.94,0.89,0.82,0.77,0.93,0.69,0.65,0.91,0.48,0.76,0.78,0.51,0.84,2
0.86,0.91,0.98,0.9,0.76,0.59,0.93,0.5,0.73,0.9,0.38,0.83,0.76,0.47,0.88,2
0.86,0.93,0.98,0.89,0.73,0.52,0.93,0.41,0.76,0.91,0.29,0.86,0.77,0.4,0.89,2
0.86,0.93,0.99,0.89,0.78,0.54,0.93,0.43,0.72,0.91,0.27,0.86,0.79,0.37,0.89,2
0.87,0.91,0.97,0.89,0.79,0.55,0.93,0.43,0.75,0.91,0.32,0.83,0.78,0.42,0.87,2
0.88,0.91,0.91,0.89,0.77,0.49,0.93,0.4,0.74,0.91,0.3,0.84,0.79,0.4,0.88,2
0.88,0.91,0.92,0.89,0.81,0.48,0.93,0.46,0.69,0.92,0.31,0.83,0.78,0.41,0.88,2
0.89,0.91,0.92,0.89,0.81,0.57,0.93,0.46,0.7,0.91,0.3,0.84,0.78,0.41,0.88,2
0.88,0.91,0.92,0.89,0.82,0.58,0.93,0.5,0.67,0.91,0.3,0.84,0.78,0.42,0.88,2
0.88,0.91,0.93,0.89,0.82,0.58,0.93,0.55,0.64,0.91,0.32,0.83,0.78,0.42,0.88,2
0.87,0.91,0.94,0.89,0.81,0.59,0.93,0.6,0.62,0.91,0.37,0.82,0.78,0.46,0.87,2
0.86,0.92,0.95,0.9,0.8,0.61,0.93,0.56,0.68,0.91,0.39,0.83,0.78,0.48,0.87,2
0.86,0.92,0.95,0.9,0.83,0.65,0.93,0.63,0.64,0.91,0.41,0.81,0.78,0.48,0.86,2
0.86,0.92,0.94,0.9,0.83,0.7,0.94,0.57,0.68,0.92,0.39,0.82,0.79,0.47,0.86,2
0.85,0.92,0.93,0.89,0.82,0.76,0.92,0.62,0.71,0.89,0.48,0.79,0.77,0.52,0.84,2
0.85,0.92,0.93,0.89,0.79,0.78,0.92,0.65,0.74,0.88,0.52,0.79,0.78,0.52,0.84,2
0.86,0.91,0.87,0.87,0.71,0.74,0.91,0.48,0.82,0.87,0.44,0.84,0.77,0.49,0.84,2
0.85,0.91,0.91,0.9,0.72,0.61,0.93,0.41,0.79,0.88,0.41,0.83,0.8,0.45,0.83,2
0.86,0.91,0.89,0.91,0.79,0.7,0.93,0.52,0.74,0.86,0.5,0.81,0.78,0.52,0.82,2
0.84,0.9,0.91,0.89,0.72,0.71,0.92,0.54,0.76,0.84,0.53,0.83,0.77,0.57,0.83,2
0.83,0.9,0.91,0.88,0.62,0.72,0.91,0.48,0.8,0.84,0.51,0.83,0.77,0.55,0.83,2
0.83,0.89,0.92,0.89,0.73,0.74,0.92,0.57,0.76,0.84,0.58,0.82,0.78,0.58,0.8,2
0.81,0.89,0.92,0.91,0.71,0.64,0.92,0.59,0.73,0.84,0.61,0.81,0.79,0.61,0.78,2
0.8,0.89,0.91,0.9,0.68,0.68,0.91,0.56,0.74,0.84,0.61,0.79,0.79,0.64,0.77,2
0.8,0.89,0.92,0.89,0.64,0.7,0.89,0.47,0.8,0.83,0.55,0.81,0.79,0.61,0.77,2
0.79,0.9,0.94,0.89,0.63,0.71,0.88,0.54,0.77,0.83,0.6,0.79,0.79,0.66,0.76,2
0.78,0.91,0.94,0.89,0.67,0.69,0.88,0.56,0.75,0.82,0.6,0.78,0.78,0.67,0.76,2
0.77,0.91,0.96,0.89,0.71,0.71,0.88,0.61,0.74,0.83,0.65,0.78,0.79,0.71,0.77,2
0.77,0.91,0.95,0.89,0.71,0.68,0.88,0.62,0.73,0.83,0.66,0.77,0.8,0.73,0.76,2
0.75,0.91,0.96,0.88,0.72,0.71,0.87,0.61,0.74,0.83,0.65,0.79,0.8,0.71,0.77,2
